Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
51,163,145155,890.521,11.074,30.974,30.147,55.467,14.909,6.331,30.725,0.597,0.953,15.136,576.405,714.620,147.452,6.484,34915.509,30.963,0.880,-0.098
52,157,137079,873.115,10.458,32.054,31.076,61.028,14.858,6.497,35.716,0.661,0.948,15.301,573.331,723.669,142.378,6.630,35937.401,32.019,0.827,0.111
53,222,148446,668.676,11.326,29.711,29.077,51.104,13.349,5.480,34.601,0.660,0.933,13.856,561.991,728.207,143.860,5.718,25236.203,29.635,1.230,1.340
54,201,157790,785.025,12.038,31.882,31.368,59.116,15.096,5.815,36.037,0.580,0.920,15.989,532.632,695.687,142.933,6.059,32016.587,31.831,1.281,2.277
55,226,166260,735.664,12.685,31.750,31.327,55.749,13.894,5.360,34.437,0.635,0.927,14.661,582.465,736.491,144.780,5.633,29601.394,31.681,0.830,-0.470
56,195,145562,746.472,11.105,32.872,32.056,56.327,12.997,5.549,34.346,0.725,0.944,13.667,580.303,704.600,140.927,5.690,31684.774,32.810,0.771,-0.533
57,186,155272,834.796,11.846,31.901,31.108,55.330,13.907,5.945,30.841,0.649,0.939,14.725,584.532,681.720,143.599,6.097,34053.317,31.887,0.838,1.146
58,198,152413,769.763,11.628,31.833,31.101,51.583,12.952,5.707,38.226,0.672,0.938,13.472,573.525,730.278,140.715,5.855,31182.838,31.798,0.939,0.416
