Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
91,192,32439,168.953,2.475,38.792,38.922,27.512,8.427,3.531,28.215,0.754,0.947,8.816,536.240,835.047,136.948,3.687,10973.823,38.797,0.814,-0.414
92,236,33322,141.195,2.542,38.666,38.640,30.025,8.291,3.409,37.903,0.741,0.916,9.173,537.398,835.390,132.874,3.791,9073.661,38.653,1.164,0.963
93,173,26441,152.838,2.017,38.783,38.040,32.724,9.740,3.597,29.783,0.717,0.934,10.165,552.873,819.347,135.632,3.864,10219.977,38.734,0.794,0.363
94,240,33183,138.262,2.532,38.636,38.054,23.633,6.959,3.164,29.783,0.802,0.946,7.335,549.487,824.096,138.048,3.358,8814.975,38.667,0.657,-0.623
95,202,36481,180.599,2.783,38.802,38.129,31.252,8.954,3.581,32.437,0.737,0.934,9.417,531.525,834.015,135.328,3.869,11351.030,38.827,0.737,0.052
96,220,32629,148.314,2.489,38.713,38.836,28.351,8.423,3.602,35.516,0.784,0.926,9.230,539.405,828.932,130.511,3.793,9681.991,38.727,0.831,-0.031
97,229,39361,171.882,3.003,38.723,38.288,30.626,8.448,3.476,34.274,0.776,0.934,9.085,548.314,815.061,135.195,3.705,10773.834,38.729,0.653,-0.707
98,201,38618,192.129,2.946,38.874,38.348,32.375,8.855,3.801,43.900,0.747,0.931,9.389,564.348,825.791,134.335,4.143,12122.478,38.886,0.815,-0.198
