,Conso
01/08/23 00:00,146.59710849088057
01/08/23 01:00,442.8742361562331
01/08/23 02:00,215.20214080843206
01/08/23 03:00,371.265188228511
01/08/23 04:00,415.98410525104464
01/08/23 05:00,657.6157169304527
01/08/23 06:00,638.9856434109232
01/08/23 07:00,1881.44216775351
01/08/23 08:00,1881.8262290778484
01/08/23 09:00,534.155205569177
01/08/23 10:00,1179.3859928029897
01/08/23 11:00,601.391978950757
01/08/23 12:00,1629.4533940631536
01/08/23 13:00,1576.1427021929505
01/08/23 14:00,425.08515961441753
01/08/23 15:00,474.13239261388964
01/08/23 16:00,479.30303238023055
01/08/23 17:00,683.0191531474695
01/08/23 18:00,1714.4643439125975
01/08/23 19:00,1938.4007282806144
01/08/23 20:00,3714.8600311197542
01/08/23 21:00,3070.665336630201
01/08/23 22:00,485.05204260232193
01/08/23 23:00,623.6629878887557
02/08/23 00:00,240.32579160309743
02/08/23 01:00,222.46938169034388
02/08/23 02:00,263.98343168137774
02/08/23 03:00,430.26872494207504
02/08/23 04:00,455.99433150692596
02/08/23 05:00,465.2249189869826
02/08/23 06:00,820.8311964826846
02/08/23 07:00,1459.0376722494418
02/08/23 08:00,1601.8857158150197
02/08/23 09:00,437.1395377690075
02/08/23 10:00,1436.765139147939
02/08/23 11:00,511.15938097121193
02/08/23 12:00,2509.380183866966
02/08/23 13:00,1612.4385855088128
02/08/23 14:00,390.00658322385596
02/08/23 15:00,344.807369316131
02/08/23 16:00,785.9201532983241
02/08/23 17:00,294.5428099263312
02/08/23 18:00,2386.563046249192
02/08/23 19:00,1687.1405376648497
02/08/23 20:00,3597.578390749559
02/08/23 21:00,3222.3794459785145
02/08/23 22:00,984.5941581866117
02/08/23 23:00,300.6982882229731
03/08/23 00:00,381.53544271172495
03/08/23 01:00,160.5653755491022
03/08/23 02:00,455.63028082548936
03/08/23 03:00,324.3299962343553
03/08/23 04:00,412.7668612322334
03/08/23 05:00,372.0411418283704
03/08/23 06:00,1005.1750915165696
03/08/23 07:00,1610.6873340903642
03/08/23 08:00,1084.6194056759919
03/08/23 09:00,570.8731197469269
