name,fluoride,sodium
Arcens,1.3,439
Arvie,0.9,650
Badoit,1,150
Beckerich,0.6,34
Chateauneuf,3,651
Faustine,2,230
La Salvetat,0.25,7
Perrier,0.05,11.5
Puits St-Georges,0.5,434
Pyrenees,0.05,31
Quezac,2.1,255
San Pellegrino,0.6,35
St-Diery,0.3,385
St-Jean,1.1,228
St-Pierre,1.7,383
St-Yorre,9,1708
Vernet,1.3,120
Verniere,0.05,155
Vichy-Celestins,5,1172
Wattwiller,1.6,3
