Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
91,60,67173,1119.550,5.125,54.348,53.567,78.275,19.895,13.375,37.948,0.802,0.920,21.931,832.367,526.417,127.558,14.032,99346.417,55.617,0.365,-0.836
92,69,68003,985.551,5.188,53.439,53.014,69.484,18.386,12.106,60.473,0.790,0.898,20.278,801.159,499.681,126.742,12.709,87579.290,54.710,0.517,-0.690
93,63,63652,1010.349,4.856,53.501,53.063,75.693,18.413,12.623,31.375,0.808,0.923,20.837,803.381,521.175,123.447,13.543,86870.190,54.683,0.518,-0.814
94,70,67763,968.043,5.170,53.514,52.971,68.487,17.875,11.850,43.003,0.806,0.922,19.554,830.757,516.043,130.214,12.348,85008.757,54.686,0.625,-0.483
95,73,68414,937.178,5.220,53.004,52.822,65.302,16.857,11.587,43.905,0.835,0.919,18.466,811.493,495.479,118.900,12.107,82691.767,53.973,0.476,-0.896
96,69,69693,1010.043,5.317,53.515,52.449,74.817,18.262,12.159,50.604,0.792,0.905,20.129,791.333,525.971,125.053,12.694,89063.000,54.754,0.602,-0.638
97,83,71831,865.434,5.480,52.443,51.542,60.249,15.695,10.393,37.942,0.837,0.925,16.975,810.470,523.434,119.300,10.784,76799.542,53.494,0.431,-0.845
98,75,70306,937.413,5.364,51.971,51.480,65.198,17.135,11.443,51.601,0.835,0.927,18.489,797.413,526.413,127.233,11.907,83398.027,53.427,0.629,-0.438
